"count","id","value","long","lat","time"
"137","570364238","@anthcanavan24 is a star! #swaggggaaaaaadooooon ","-1.511276","54.90905","2015-04-24 10:16:13.666000"
"138","70973133","#howimetyourmother star #cobiesmulders reveals secret #ovarian #cancer battle http://t.co/hmsinkmuuo ","-1.485071","55.019533","2015-04-24 10:16:09.619000"
"139","570364238","a week of intense crash diet to work these cakes off. then vegas thursday with my best mate! @jakeyslater kammmmaaannnn #hangover ","-1.51131","54.9091","2015-04-24 10:15:51.135000"
"140","617362802","@gavlar87 soooooooooooooo #jealous ","-1.447862","54.814404","2015-04-24 10:15:29.963000"
"141","70973133","#eastenders: #roxys #confession seen by 5.9m in thursday ratings http://t.co/1r09l1wcqu #emmerdale #neighbours #hollyoakes #soap #ratings ","-1.484545","55.019061","2015-04-24 10:15:17.619000"
"142","2236840383","@courantsport hi david, can the fixtures be found anywhere for this league? ","-1.718078","54.95583","2015-04-24 10:15:13.166000"
"143","2329706567","bruces price is right me and joe #skeltonsloveagameshow ","-1.545536","54.956172","2015-04-24 10:14:52.416000"
"144","210610613","cba with arguing with other dog walkers at this time ","-1.459515","55.015969","2015-04-24 10:14:47.041000"
"145","12021142","big weekend for musical talent in the north east. ranters also recording a new album tomorrow up in studio in thropton near rothbury ","-1.615723","54.97995","2015-04-24 10:14:38.588000"
"146","2926038952","my bag is so heavy, i hate having to carry my college folder around with is in college  ","-1.410504","54.97215","2015-04-24 10:14:04.119000"
"147","2903008828","@jordangowling29 wow ","-1.784613","54.928597","2015-04-24 10:13:32.556000"
"148","346823773","red cross on the door  ear infection for me, tummy bug for lola ","-1.545393","55.0236","2015-04-24 10:12:44.915000"
"149","1583987317","@pinnacleschippy thankyou for rts hope your enjoying this glorious sunshine ","-1.621945","55.035023","2015-04-24 10:12:28.696000"
"150","54691184","@sixsmithtv might of just took 1 look of the place lol ","-1.621504","54.973883","2015-04-24 10:12:27.431000"
"151","350203945","@brianmoore1 #ttat 1988 today all @relish_wbay working hard ","-1.449692","55.047163","2015-04-24 10:12:06.040000"
"152","517981032","http://t.co/7vyj9lzj7s ","-1.636205","54.941729","2015-04-24 10:12:00.431000"
"153","878715283","@kieranatkinsurn @_bradmcc cant be helped when your bursting  ","-1.593139","55.188955","2015-04-24 10:11:47.181000"
"154","70973133","#royals meet #descendants of #gallipoli #campaign http://t.co/ulrwxx3acr #princeharry #princecharles #royalfamily ","-1.484856","55.019345","2015-04-24 10:11:34.462000"
"155","214599653","postal vote dropped in the post box on the way into work this morning. no prizes for guessing how i voted!!! ","-1.391074","54.904656","2015-04-24 10:11:23.134000"
"156","267203370","potentially joining the gym today. time to start getting into and enjoying training ","-1.370888","54.907894","2015-04-24 10:11:18.540000"
"157","346583976","@modernistj @maglez67 @scootersalesuk @thomhickey55 @davidirvine252 @wjones431 cheers, have a cracking #ff #ktf ","-1.544435","54.975604","2015-04-24 10:11:15.603000"
"158","3126555185","xur is next to the crucible vendor ","-1.519229","55.120867","2015-04-24 10:11:04.212000"
"159","19949665","@britboi_lou @flyingjnai @cupid_boy86 why, does he have pictures of you  im always looking to expand my expertise so accept all comers  ","-1.497816","54.978134","2015-04-24 10:09:35.728000"
"160","720850507","cant wait #acfprtt https://t.co/udnenjfvvt ","-1.56856","55.081854","2015-04-24 10:09:27.134000"
"161","206781292","@reganmcleod thanks regan, mwah xxx ","-1.620339","54.97022","2015-04-24 10:09:10.024000"
"162","239448821","todays big debate: do i enter the amsterdam or budapest marathon? ","-1.612797","54.971647","2015-04-24 10:09:09.962000"
"163","12021142","@apauldunn @radiopositivity @noeledmonds bollock cold but life affirming ","-1.616067","54.980263","2015-04-24 10:09:07.821000"
"164","720850507","cant wait  https://t.co/udnenjfvvt ","-1.569171","55.08218","2015-04-24 10:08:59.680000"
"165","206781292","@kirstyswan thanks kirsty xx ","-1.620285","54.970283","2015-04-24 10:08:51.852000"
"166","12021142","@cheeky_kalli @dfergpr @jenllew @adamjone5 @kimreynolds @mrmikestreet @smexaminer @bobble @phillippa92 @laurenwilden thanks! ","-1.616101","54.980273","2015-04-24 10:08:45.571000"
"167","206781292","@jodymainx thanks honey xxxx ","-1.620225","54.970317","2015-04-24 10:08:34.774000"
"168","617362802","@carlhastings3 my pleasure ;) xoxo ","-1.447841","54.814407","2015-04-24 10:08:30.008000"
"169","546123560","fridays drag like fuck ","-1.532996","54.914262","2015-04-24 10:08:25.993000"
"170","1028174628","jennnnnn http://t.co/z4lgkpgmko ","-1.652745","55.009748","2015-04-24 10:08:09.164000"
"171","350195917","@bobbyblue_iyz aw cheers pet!! #traintales ","-1.516776","54.974818","2015-04-24 10:07:47.633000"
"172","12021142","sting, jimmy nail, unthanks and wilson brothers in rehearsal. need cheryl for a straight flush (at @sage_gateshead) https://t.co/jsz3ztgudc ","-1.600957","54.967342","2015-04-24 10:07:35.992000"
"173","1901341","havent read my emails in a week and i must have at least a thousand unread, i hate email! ","-1.530626","54.947411","2015-04-24 10:07:33.992000"
"174","2352660099","@brianmoore1 hi brian, think its 1988, i turned 13 in this year #ttat x ","-1.686703","55.002326","2015-04-24 10:07:05.617000"
"175","246051112","finish watching @itvjeremykyle then pooch walking time with my girl @amy_lamb1 ","-1.454214","54.82496","2015-04-24 10:06:49.383000"
"176","209722881","im a moron ","-1.616028","54.9813","2015-04-24 10:06:24.945000"
"177","239448821","1 table has become available for saturday @bonbarnewcastle #besomebody who wants it?? #newcastle ","-1.612701","54.971682","2015-04-24 10:06:24.336000"
"178","1202246539","the amount of english essays i have to do is absolutely ridiculous ","-1.740302","54.996253","2015-04-24 10:06:10.289000"
"179","37900318","@chrispratt24 @joelymorrison @dylanmorrison99 thanks chris ;) ","-1.543645","54.954146","2015-04-24 10:05:24.930000"
"180","37900318","@pburgum cheers paul ;) ","-1.543275","54.954082","2015-04-24 10:04:59.054000"
"181","3126555185","where is xur? ","-1.519331","55.120853","2015-04-24 10:03:51.148000"
"182","2786320472","@kaitlinwitcher kate will you be coming to newcastle? ","-1.470268","54.998795","2015-04-24 10:03:50.570000"
"183","54660416","                 https://t.co/2h0pxn9t3z ","-1.59661","54.97072","2015-04-24 10:03:44.257000"
"184","620440026","@thatssolagun happy 21st jorj! have a lush day and keep it classy, love ya xox ","-1.539704","55.026195","2015-04-24 10:03:26.570000"
"185","617362802","@napalierox my pleasure xoxo ","-1.447841","54.814409","2015-04-24 10:02:56.804000"
"186","551816987","i cant deal with these fucked up dreams like, feel so surreal ","-1.43901","54.879906","2015-04-24 10:02:49.695000"
"187","40860394","@applesupport_uk arrived set up, taken 1st call on it works great! do you have any idea about strap availability in store over the weekend? ","-1.449836","54.905668","2015-04-24 10:02:47.570000"
"188","260138565","another little treat! #allotment #allotmentcookbook http://t.co/zvpxdfbofz ","-1.606493","54.992548","2015-04-24 10:02:37.351000"
"189","2375088806","one of our specials today , turkey bacon and salad sandwiches packed into a beet root bun! lovely ! http://t.co/vcrdhk4igj ","-1.614448","54.972589","2015-04-24 10:02:35.101000"
"190","20583877","@chornbarino or when losing your friends at a festival meant spending the rest of the day alone? ","-1.85401","54.871017","2015-04-24 10:02:23.367000"
"191","217431898","bo da dende uk.  ","-1.574733","54.986878","2015-04-24 10:01:37.804000"
"192","155512144","went to the job interview and got told you have to be 18 to work there, they knew i was 17 i put it on my application form ","-1.734927","55.049583","2015-04-24 10:01:36.960000"
"193","303093726","cant wait to my nandos and drinks later ","-1.428045","54.982934","2015-04-24 10:01:36.866000"
"194","89197022","@blackyboyccb its on at @sunderlandgc casino mate if you fancy it ","-1.510054","54.922995","2015-04-24 10:01:35.148000"
"195","1006380079","temp:16.9c  
high:16.9c  
low:6.8c
wind:1.6mph w
gust:9.2mph
pressure: 1000.8 
rain: 0.0mm.  
#wallsend ","-1.544167","54.999444","2015-04-24 10:01:11.913000"
"196","70973133","the most #awesome #female leads on #netflix http://t.co/tp6rftkn5l ","-1.485105","55.019562","2015-04-24 10:00:51.695000"
"197","89197022","@fleamicheal @fl5001 @v31cr0 would have loved to mate but have spent a fortune on vets bills so far this year ","-1.510063","54.923007","2015-04-24 10:00:45.366000"
"198","171251189","need to stop having such horrific nightmares  ","-1.624093","54.981655","2015-04-24 10:00:42.820000"
"199","880779554","@o2 #halvemybills i dont even like snickers. http://t.co/y08wslgcn4 ","-1.379818","54.917065","2015-04-24 10:00:39.757000"
"200","469545694","@tsbible @manutd @kiddaluca hes done it again hahaga fuck me ten year ago that day in the prior ","-1.442631","54.88188","2015-04-24 10:00:23.116000"
"201","2260690449","ahhh thank you to everyone who wished me a good birthday :d ","-1.613119","54.958009","2015-04-24 10:00:20.304000"
"202","368346375","temp: 19.4c wind:0.7mph pressure: 996.7hpa falling rain today 0.0mm. forecast: stormy, much precipitation ","-1.490833","54.961667","2015-04-24 10:00:04.445000"
"203","2375088806","hello there! loving the weather , loving its #friday , loving life! @frenchoven @nclmarkets @ellenscosmetics ","-1.614341","54.972581","2015-04-24 10:00:02.413000"
"204","20784683","temp:19.2c wind:8.4 mph barometer:1007.1 mb rain:0.0 mm humidity:59% #ukweather. ","-1.488889","55.0425","2015-04-24 09:59:53.070000"
"205","1444135279","why is language learning important for the uk economy ? john evans #iticonf15 http://t.co/xurnigoagm ","-1.607498","54.965317","2015-04-24 09:59:52.101000"
"206","1953727706","@wowwows @patrick_bamford @vossenjelle @sarahgard7 ","-1.597283","54.969375","2015-04-24 09:59:13.038000"
