c0,c1,c2,c3,c4,c5,c6,c7,distance
1.0,10.0,0.1,9.995091922555085,1.0,2.13830548974961,0.40881418312824275,0.012980590586967596,0.6349939757287975
1.0,10.0,0.1,53.646418233552495,1.0,2.0877448055940033,2.8525978994685635,0.02596594107780371,0.6405296397667644
1.0,10.0,0.1,4.596375722021876,1.0,1.6182371487949396,0.410580423966357,0.023721169556343704,0.6710496206182327
1.0,10.0,0.1,4.734614204103616,1.0,1.8505878541689156,0.24912540837998376,0.00959738944129786,0.6884258163265746
1.0,10.0,0.1,24.680341026573387,1.0,1.1335076817803376,0.9198735250852427,0.024385012212667145,0.3066400889601815
1.0,10.0,0.1,0.8537994703863662,1.0,3.245642436230574,0.056708754414323735,0.007171810625740281,0.856285240390624
1.0,10.0,0.1,53.12371579938366,1.0,3.6776079665398496,3.0141411456186065,0.005110860715899825,0.7979552887111065
1.0,10.0,0.1,5.7636284490221605,1.0,1.5004271561706246,0.14142219131597591,0.004842679836969484,0.6795772198991911
1.0,10.0,0.1,19.314664160129947,1.0,1.9342186087012616,2.9186153968252397,0.0032218992456615474,0.29623738096186364
1.0,10.0,0.1,4.357413195938007,1.0,1.8385094093007153,0.2092331995404872,0.005543452041709826,0.8808655833986287
1.0,10.0,0.1,0.6993732871649366,1.0,4.827225036023419,0.07553091957147248,0.0034640783886195083,0.8633631511671206
1.0,10.0,0.1,11.61569053134687,1.0,0.9427189091913033,0.5735326329033343,0.011253389048543953,0.5022339693872112
1.0,10.0,0.1,2.7028609700523356,1.0,2.0808036247843975,0.13425457704577798,0.030911120204828172,0.43802414592998934
1.0,10.0,0.1,2.725464810335171,1.0,0.7450568725463473,0.05679381898287034,0.006040097385783051,0.5809802607796015
1.0,10.0,0.1,3.574817719787595,1.0,0.9929153530000521,0.20622343827540746,0.016535023004499518,0.6246262392743863
1.0,10.0,0.1,3.052146422394125,1.0,0.5629721887912009,0.05708676364227306,0.06737541026274958,0.6013251568536963
