c0,c1,c2,c3,c4,c5,c6,c7
1.0,10.0,0.01,50.9095636761057,1.0,2.163042794561615,0.5808413884450224,0.004271527367955273
1.0,10.0,0.01,54.26074662095405,1.0,1.5511890023477521,0.6333794404566623,0.003808465969579605
1.0,10.0,0.01,50.291085691025835,1.0,1.4720393746017313,0.5976996069252446,0.003717476620328467
1.0,10.0,0.01,52.808158324314384,1.0,1.6168298594535127,0.3710174158932933,0.0045543719515049414
1.0,10.0,0.01,52.808158324314384,1.0,1.6168298594535127,0.3710174158932933,0.0045543719515049414
1.0,10.0,0.01,52.808158324314384,1.0,1.6168298594535127,0.3710174158932933,0.0045543719515049414
1.0,10.0,0.01,46.06416235393338,1.0,1.4835456566552625,0.4104571587593092,0.004170953291686478
1.0,10.0,0.01,46.26133107985697,1.0,1.4235913458358675,0.647245304466582,0.004370563989384601
1.0,10.0,0.01,34.311597176899184,1.0,1.7250772177925235,0.6484761625698117,0.003730329501021567
1.0,10.0,0.01,25.21514100395586,1.0,1.671068927907653,0.46510106172030985,0.003560858286322881
1.0,10.0,0.01,28.591599105117613,1.0,1.3053374228810115,0.3842948261542119,0.0037927192601855965
1.0,10.0,0.01,26.902441674088458,1.0,1.2871768310043206,0.4330446479300663,0.004324798191281874
1.0,10.0,0.01,21.708987493699986,1.0,1.2922313362462472,0.3698405579525994,0.003598224645805885
1.0,10.0,0.01,22.4700333748536,1.0,1.5503833998116683,0.3500040529564723,0.0032939878583437597
1.0,10.0,0.01,21.00744427456081,1.0,1.589849176740886,0.3422889062275054,0.0025343024826059313
1.0,10.0,0.01,21.00744427456081,1.0,1.589849176740886,0.3422889062275054,0.0025343024826059313
1.0,10.0,0.01,21.00744427456081,1.0,1.589849176740886,0.3422889062275054,0.0025343024826059313
1.0,10.0,0.01,25.1400090923451,1.0,1.4044359964398443,0.38487036168678596,0.002486516071861258
1.0,10.0,0.01,26.93109382579934,1.0,1.3570620833633844,0.39300839169738977,0.0024945188385320674
1.0,10.0,0.01,27.347761112177274,1.0,1.3847584969520652,0.43931142294408915,0.0026610012623388686
1.0,10.0,0.01,25.952483102862843,1.0,1.4093717613128387,0.41138942120683086,0.002537640420283702
1.0,10.0,0.01,25.952483102862843,1.0,1.4093717613128387,0.41138942120683086,0.002537640420283702
1.0,10.0,0.01,20.422373298854556,1.0,1.4085022688935518,0.3838794852362951,0.0027098974039705104
1.0,10.0,0.01,22.960812091875088,1.0,1.4755581885747646,0.3372687765813964,0.0029355963592155427
1.0,10.0,0.01,22.960812091875088,1.0,1.4755581885747646,0.3372687765813964,0.0029355963592155427
1.0,10.0,0.01,22.960812091875088,1.0,1.4755581885747646,0.3372687765813964,0.0029355963592155427
1.0,10.0,0.01,17.93519053844943,1.0,1.343846475647667,0.33443195870798387,0.004260682964193769
1.0,10.0,0.01,21.791434628454883,1.0,1.3507674175275803,0.38476012321136055,0.0032103234489133923
1.0,10.0,0.01,20.022798941674584,1.0,1.6379150823240745,0.32581815703376976,0.003313285659681422
1.0,10.0,0.01,19.187439881480575,1.0,1.9184807740998788,0.3538669201643703,0.0033975626008112833
1.0,10.0,0.01,21.988626286329787,1.0,1.6938900510163453,0.3960316990798381,0.003574854130826947
1.0,10.0,0.01,19.520851160971894,1.0,1.3444073697918353,0.4880219397214385,0.0038009818461147093
1.0,10.0,0.01,20.307794031980016,1.0,1.5499065897420765,0.33997086169230895,0.004409264181388451
